公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
美诺园艺,电子商务,不限大专,跟播助理-园艺类目,4-9K,北京,电子商务不需要融资100-499人,"电子商务
早晚班
淘宝直播
熟练电脑操作
网络知识",补充医疗保险，年终奖，定期体检，五险一金，带薪年假，加班补助，员工旅游,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游,此岗位感兴趣的朋友很多，为了节约彼此时间，麻烦确认是否可以接受以下四点：1，工作地点在顺义-杨镇，分早晚班，公司可以提供住宿（2人间）2，工作很辛苦，但是对于希望学习和了解多肉植物的人来说可以学到东西蛮多；4，后期随着主播收入提高工资会提升；5，本岗位接受应届生。岗位职责：1、负责淘宝直播过程，协助后台建立连接及编辑内容，跟进直播进度；2、负责直播过程中粉丝反馈问题的记录，跟进；3、负责协助主播进行直播、串词、调节直播气氛等，促进直播更优质的完成；4、负责直播前的产品、方案、场地灯光等对接与准备；5、协助进项，对直播间的日常整理清洁6、与团队一起讨论直播活动方案以及主管交待的其他事项。任职资格:1、大专以上学历，做过电商运营优先，应届毕业生亦可，20到30岁之间;2、对多肉植物感兴趣，有较好的沟通表达能力及服务意识，有客服经验者优先;3、反应灵活，思路清晰，责任心强，有较强的执行力和沟通协调能力，有良好的团队合作精神；4、熟练电脑操作及Office办公软件，具备基本的网络知识；5、可接受弹性工作制（单休，早/晚班）6、有直播助理经验者或长期关注淘宝直播者优先。公司福利：1、按照国家规定缴纳五险。2、免费享受完善的培训体系，多元化的职业发展渠道，给予岗位技能和综合能力不断提升的培训或拓展。3、公平透明的晋升机制，职位晋升.公司设立良好的晋升机制并提供内部竞岗、职位轮换机会。4、舒适的办公环境、生活化的办公环境，融洽的工作氛围。,公司是一家年轻的创业型公司，目前公司下属两块业务：第一块：主打多肉植物产品，面向家庭园艺市场。公司经营理念为品质至上，服务至上。公司目前年生产多肉植物200万株，产值1000万元，繁殖品种超过800种。生产技术处于国内行业先进水平，依靠优秀的产品品质和服务品质，在行业和顾客群内赢得了良好的口碑。
晁佳,工程施工,5-10年大专,园林园艺工程师1名,11-20K,东莞,工程施工不需要融资0-20人,"园林植物
现场施工经验
环境艺术
施工工艺
施工管理",餐补，年终奖，包吃，五险一金，员工旅游，住房补贴,五险一金年终奖员工旅游餐补包吃住房补贴,要求：大学专科学历以上，较精专环境艺术园林景观施工管理，对园林植物、园林材料、施工工艺有较丰富的现场施工经验。5年以上工作经验。 年龄：35-50岁。待遇：月薪10000-20000元或面商。,
天力物业发展,物业服务,10年以上不限,园艺师,6-8K·13薪,广州,物业服务已上市1000-9999人,"植物习性
景观施工
园艺师
种植管理
责任心强",餐补，带薪年假，节日福利，五险，13薪，年终奖,年终奖带薪年假餐补节日福利五险13薪,年终奖、年底双薪,广州天力物业发展有限公司隶属于富力地产集团，注册资本5000万人民币，是国家物业管理一级资质企业。公司已通过ISO9001：2000质量管理体系和ISO14001环境管理体系双认证，并于2006年度荣获“广东省房地产物业管理十佳企业”称号，2010年度荣获“中国物
成都浩海立方海洋馆,其他服务业,1-3年大专,园艺师,3-6K,成都·双流区,其他服务业不需要融资1000-9999人,"绿化工
文旅地产
景观园林设计
种植养护
病虫害防治",生日福利，零食下午茶，五险一金，餐补，年终奖，优秀评选，加班补助，节日福利，每月免费滑冰，免费宿舍,五险一金加班补助年终奖餐补节日福利零食下午茶免费宿舍生日福利每月免费滑冰优秀评选,岗位职责：1、 熟悉天空渌道树种、植被的特性，对园林景观进行和合理的种植及栽培；2、 维护、管养管理范围内一切花草树木的健康；3、 巡视查看绿化布置及设施是否正常，发现问题及时纠正；4、 做好日常花木管养、清洁、做好绿化设备保养工作；5、 制定详细科学的绿化计划方案并及时上报；6、 确保园区内苗木的成活率，严格按照规范进行养护；7、 完成上级领导安排的其他工作。岗位要求：1、 园林设计专业大专及以上学历；2、 熟悉树木、植被种植养护等相关工作；3、 能够掌控树木、园林景观、病虫害防治及维护；4、 熟悉掌握常用绿化机械、工具、用具的使用和维护；,"成都蛟龙港由香港蛟龙集团投资开发，创建于2000年6月,是全国首家民营工业园区。通过10余年的探索，在成都已成功建成两个园区——成都蛟龙港青羊园区、成都蛟龙港双流园区，开创了民营经济办园区的先河。目前，成都蛟龙港已连续6年进入“中国民营企业500强”，"
天力物业,物业服务,10年以上不限,园艺师,5-8K,杭州·余杭区,物业服务不需要融资1000-9999人,"绿化工
住宅地产
植物习性
景观施工
景观园林设计",年终奖，带薪年假，节日福利，餐补，五险一金，员工旅游,五险一金年终奖带薪年假员工旅游餐补节日福利,【岗位描述】1.负责对城市的亮点景观进行指导、带领项目同事做好项目的景观维护工作；2.负责城市公司所管辖项目的亮点景观打造。 【任职要求】1.熟悉入职区域、城市的植物习性；2.精通植物的养护、搭配、细节处理、种植手法、组合造型；3.年龄55岁以下，身体健康，品行端正，能吃苦耐劳，责任心强；4.学历不限，专业不限，园林景观等相关专业优先考虑；5.10年以上现场景观施工种植管理经验；,"一、富力地产集团简介富力地产集团自1994年创立以来，立足广州，布局全球，是中国综合实力最强的房地产企业之一。富力地产作为多元化发展集团，核心业务覆盖地产经营全链条，还拓展至酒店、物流、互联网、电商贸易、医疗、足球等领域。截至2018年6月，富力拥有权益土地储备约5,700万平方米。2018"
爱垦园艺,农/林/牧/渔,1-3年大专,园艺资材事业部项目经理,4-6K,厦门·湖里区,农/林/牧/渔不需要融资20-99人,"售前咨询
行业推广
园艺
销售经验
驾驶能力",五险一金，交通补助，员工旅游，加班补助，年终奖，节日福利，带薪年假，通讯补贴,五险一金加班补助年终奖带薪年假员工旅游通讯补贴交通补助节日福利,岗位要求：1、园艺、花卉、农学、林学、农化、植保、土化等相关专业毕业（未符合专业要求者请勿扰）；2、有从事相关园艺资材行业推广和销售经验者优先考虑；3、年龄35岁以下，熟悉电脑基本操作； 4、沟通能力或语言表达能力强，为人诚恳踏实且责任心强，能吃苦耐劳，积极主动，具备较好的服务意识； 5、能视业务实际需要不定期的出差，具备高度的团队精神；6、愿意长期与公司共同成长者； 7、有驾照并有驾驶经验者的优先考虑。 岗位描述：1、负责园艺资材项目的开发与管理，相关行销工作的落实执行、市场调研、新产品推广、售后服务等；2、负责项目的市场开发策略和销售计划目标的具体落实；3、公司产品的售前咨询及售后服务的解决。,厦门爱垦园艺有限公司专业从事花卉、草坪、林木等优良品种引进、推广及销售，并致力于提供园艺资材、设施、工具等配套服务，是“福建省花卉协会种子与资材分会”的挂靠单位，荣获2006-2007年度、2008-2009年度、2010-2011年度“福建省花卉产业发展贡献奖&
沂州科技,化工,不限大专,园艺师,3-6K,徐州,化工不需要融资1000-9999人,"园艺设计
绿化养护管理
绿化工
园林养护
绿化植物",餐补，五险一金，定期体检，节日福利,五险一金定期体检餐补节日福利,工作职责：1、提高绿化养护管理的知识和技能，严格管理名贵花木，负责对名贵花木建立管理档案；2、掌握花木病虫害的防治方法，正确并熟练使用园林机具，熟悉花草树木品种、名称、特性和栽培管理方法；3、熟悉所属区域的绿化情况，充分利用绿化地面积，合理安排绿化工种植花草树木；4、定期巡检绿化区域，组织绿化工适时适量浇水施肥，清理杂草杂物，对绿化植物修剪整形，保证环境美观；5、负责公司园林的绿化规划工作，负责绿化工的安全管理工作，统筹绿化设备设施的保养工作。6、贯彻执行公司安全管理规章制度及安全标准化相关要求；负责开展花木班、保洁人员安全培训教育，指导班组安全活动；7、制定班组安全职责及安全操作规程，并监督落实与执行；8、负责花木、保洁人员安全考核管理，并严格执行；落实花木、保洁人员劳保穿戴，并检查落实；9、对班组安全隐患问题进行自查自检，预防不良事件发生；对相关人员进行机械操作培训，确保使用安全。任职资格：1、大专及以上学历，园林管理相关专业；2、3年及以上园林养护相关经验，熟悉园艺管理相关业务及要求；有市政园林养护从业经历者优先；3、熟悉园林植物的品种、生长特性、种植管理办法，具有专业的修剪、栽植、病虫害防治等方面的养护管理技能；4、具有强烈的责任心、良好的团队意识和创新精神。,沂州科技有限公司属于山东沂州集团（中国企业500强），位于邳州经济开发区新型煤化工园区，总资产45亿元，占地面积1300余亩，现有员工1700余人。年产捣固焦260万吨，甲醇30万吨，液氨10万吨，焦油10万吨，粗苯4.0万吨，硫铵4.0万吨。公司是中国炼焦行业协会常务理事单位、江苏省高新技术
天冰冷饮,食品/饮料/烟酒,不限不限,园艺工,3-4K,郑州,食品/饮料/烟酒D轮及以上1000-9999人,"包吃包住
保底工资
草坪
身体健康
管理工作经验",年终奖，带薪年假，通讯补贴，员工旅游，五险一金，加班补助，补充医疗保险，餐补，定期体检，节日福利，交通补助，全勤奖,五险一金补充医疗保险定期体检加班补助全勤奖年终奖带薪年假员工旅游餐补通讯补贴交通补助节日福利,岗位职责：1、负责厂区整体树木的养护，修剪造型、虫害防治、施肥管理、移栽成活率；2、负责厂区草坪的养护，按时更新草坪品种；3、负责公司荷花池游园及停车场的卫生清扫，加强对荷花池游园的管理。职位要求：1、身体健康，吃苦耐劳，年龄45岁以下；2、有2年以上绿化管理工作经验，熟知树木品种相关知识，懂得施肥管理相关知识，具备园林景观设计能力。,天冰冰淇淋创始于1986年，专注冰淇淋行业33年，是一家集研发、生产、物流配送、销售为一体的大型冷饮企业。现下属河南天冰、石家庄天冰，年总销售额达10亿元。其总部位于郑州市经济技术开发区航海东路第六大街，在职员工1000余人，拥有30多条国内先进的生产线，产品畅销全国。自公司成立以来，产品日益丰
虹越花卉,生活服务,1-3年大专,园艺店长,5-8K,嘉兴,生活服务已上市500-999人,"园艺
商业地产
店长
门店管理
策划组织",员工旅游，加班补助，带薪年假，五险一金，节日福利,五险一金加班补助带薪年假员工旅游节日福利,岗位职责1、全面负责门店的日常管理及运作，完成公司下达的各项工作任务和指标；2、负责指导店内陈列、氛围的布置，体现不同的节日和促销日氛围；3、负责店内销售计划的执行，组织策划各类营销宣传活动；4、负责门店的订、退、换货，保证店内商品的充足；5、合理分配店员的工作，指导店内植物的养护，保证商品的品相；6、负责门店VIP客户的管理、投诉的处理以及门店的公关事宜；7、负责店员的培训、激励、考核，做好人员梯队建设；8、做好门店的防火、防盗、防工伤、安全保卫等工作；9、严格控制损耗、人力成本、运营成本，提高门店销售额；10、及时向上级汇报门店工作和下达上级政策目标；11、完成上级领导交办的其他各项工作。任职资格1、本科及以上学历，营销、管理、园艺类相关专业；2、有2年以上连锁类门店管理经验；3、有良好的职业道德，强烈的责任心和事业心；4、服务意识强，有亲和力；5、熟悉连锁门店的运营，了解运营产品体系、运营策略。薪资福利：工资结构：基本月薪+加班工资+销售提成/奖金+节日费工资：综合月薪6000~8000元；综合年薪8万以上，上不封顶。福利：社保五险、公积金、带薪年休假、培训机会、生日福利、节日福利等,虹越花卉有限公司于2000年8月29日注册成立，2013年8月12日改制设立为虹越花卉股份有限公司，2014年1月24日在全国中小企业股份转让系统挂牌，股票代码为：430566，股票简称：虹越花卉。虹越花卉以“创新花卉园艺空间、分享幸福花园生活”为新的发展战略，作
富力物业集团,生活服务,10年以上不限,园艺师,7-10K·13薪,南京·江宁区,生活服务不需要融资10000人以上,"园艺
植物习性
景观施工
园艺师
种植管理",节日福利，定期体检，免费班车，餐补，年终奖，五险一金,五险一金定期体检年终奖免费班车餐补节日福利,【岗位描述】1.负责对城市的亮点景观进行指导、带领项目同事做好项目的景观维护工作；2.负责城市公司所管辖项目的亮点景观打造。【任职要求】1.熟悉入职区域、城市的植物习性；2.精通植物的养护、搭配、细节处理、种植手法、组合造型；3.年龄55岁以下，身体健康，品行端正，能吃苦耐劳，责任心强；4.学历不限，专业不限，园林景观等相关专业优先考虑；5.10年以上现场景观施工种植管理经验；,国内前十地产物业集团，管理国内外超过3500万平米的物业面积，包含商业，住宅，别墅等；依托自身地产和物业交互业务模式和商业前景发展企业信息化与企业互联网建设，涵盖智能社区，智能家居，社区商业运营服务（医疗，金融，保险，生活，教育等）等等。
天力物业,其他服务业,10年以上不限,园艺师,5-8K·13薪,珠海,其他服务业已上市1000-9999人,"物业服务
植物习性
景观施工
园艺师
种植管理",带薪年假，定期体检，加班补助，餐补，节日福利，补充医疗保险，年终奖,补充医疗保险定期体检加班补助年终奖带薪年假餐补节日福利,1.负责对城市公司的亮点景观进行指导、带领项目同事做好项目的景观维护工作；2.负责城市公司所管辖项目的亮点景观打造。任职要求：1.熟悉入职区域、城市的植物习性2.精通植物的养护、搭配、细节处理、种植手法、组合造型3.年龄55岁以下，身体健康，品行端正，能吃苦耐劳，责任心强4.学历不限，专业不限，园林景观等相关专业优先考虑5.10年以上的现场景观施工种植管理经验,【富力地产集团】广州富力地产股份有限公司（以下简称“富力”，香港联合交易所上市编号：2777）成立于1994年，集房地产设计、开发、工程监理、销售、物业管理、房地产中介等业务为一体，拥有国家建设部颁发的一级开发资质、甲级设计资质、甲级工程监理资质、一级物业管理资质和一级房地
康诺食品,食品/饮料/烟酒,1-3年不限,园艺师,4-5K,邯郸,食品/饮料/烟酒不需要融资500-999人,"绿化工作
园艺师
公司厂区",免费班车，加班补助，五险，包吃，包住,加班补助免费班车包吃包住五险,负责公司厂区内绿化工作，对园区内绿植进行养护、除草、浇水等,邯郸市康诺食品有限公司始建于1997年3月，地处邯郸经济技术开发区农产品加工园区明珠大街6号，是一家集乳制品生产、销售，蔬菜、肉、蛋销售为一体的股份制企业，其中乳制品主要产品有巴氏鲜牛奶、酸牛奶、调味奶、乳酸菌饮料四大类50余种。其注册品牌“康诺”牌巴氏鲜牛奶和乳酸菌饮料分别
海信地产物业公司,物业服务,5-10年中专/中技,园艺师,5-7K,青岛,物业服务不需要融资1000-9999人,"物业服务
园艺
园艺师
沟通能力
表达能力",员工旅游，子女教育，五险一金，健康管理，行业交流,五险一金健康管理子女教育员工旅游行业交流,工作职责1、根据需要，负责花卉品种、植物品类的选择、栽种、养护；2、负责花卉园区的日常管理，确保园区整齐、干净，花卉、植物长势良好；3、针对花卉周期性特点，提供不同时期、场合需求的各类花卉及植物；4、承接、协助部分业主花卉、植物的养护需求；5、根据工作需要，负责相关物料的采购、保管。工作要求1、大专及以上学历，园林、园艺等相关专业，熟悉南、北方花卉、植物的名称、特性、养护方式等；2、具备较强的沟通能力、表达能力；3、有相关工作经验优先。,青岛睿海物业管理有限公司系海信房地产公司的子公司，公司下设总经理办公室、计划财务部、人力资源部、项目管理部、合约管理部等职能部门；市内三区、崂山区域、西海岸区域、城阳即墨区域、济南区域、烟威区域、深圳区域等几大区域50多个项目，项目业态含高档住宅、写字楼、综合体、别墅、案场等。在公司发展历程中，睿海
